key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
Navbar.Donate.Description,View the donation and support page,,Visualizza la pagina delle donazioni e del supporto,,,Bağış ve destek sayfasını görüntüle,Tignan ang donate at support page,Посмотрите страницу доната и поддержки,寄付するとサポートページを見る,Ver a página de doações e apoio,,,Meow meow meow meow meow meow
Navbar.Lucky.Title,I'm Feeling Lucky,,Mi sento fortunato,,,Şanslı Hissediyorum,Ala-suwete,Чувствую мне повезет,,Estou com Sorte,,go'ka,Meow'meow meow meow
Navbar.Lucky.Description,Get sent to the page for a random game on the website,,Verrai mandato alla pagina di un gioco casuale sul sito,,,Rasgele bir oyun sayfasına git,Dadalhin ka sa isang random page ng game sa loob nang website,Отправьтесь на страницу случайной игры на сайте,,Seja mandado para uma página de um jogo aleatório do site,,,Meow meow meow meow meow meow meow meow meow meow meow meow
Navbar.RSS.Title,RSS,,RSS,,,RSS,RSS,RSS,,RSS,,RSS,Meow
Navbar.RSS.Description,View available RSS feeds,,Visualizza i feed RSS disponibili,,,Mevcut RSS bildirimlerini görüntüle,Tignan ang mga RSS feeds,Посмотрите доступный RSS фид,,Ver transmissões RSS disponíveis,,,Meow meow meow meow
Navbar.Light.Title,Light Theme,,Tema chiaro,,,Aydınlık Tema,Light Theme,Светлая Тема,,Tema Claro,,sol,Meow meow
Navbar.Light.Description,Change the page colours to be lighter,,Cambia i colori della pagina per essere più chiari,,,Sayfa renklerini aydınlık yapar,Palitan ang kulay ng page para mas maaliwalas,Измените цвета страницы на светлые,,Muda as cores da página para serem mais claras,,,Meow meow meow meow meow meow meow
Navbar.Dark.Title,Dark Theme,,Tema scuro,,,Karanlık Tema,Dark Theme,Темная Тема,,Tema Escuro,,nalo,Meow meow
Navbar.Dark.Description,Change the page colours to be darker,,Cambia i colori della pagina per essere più scuri,,,Sayfa renklerini karanlık yapar,Palitan ang kulay ng page para mas madilim,Измените цвета страницы на темные,,Muda as cores da página para serem mais escuras,,,Meow meow meow meow meow meow meow
Navbar.Home.Title,Home,,Home,,,Anasayfa,Home,Главная,,Página principal,,,Meow
Navbar.Home.Description,Go to the home page,,Vai alla home,,,Anasayfa'ya git,Bumalik sa home page,Вернуться на главную страницу,,Vá para a página principal,,,Meow meow meow meow meow
Navbar.Brand.Name,D2Jam,,D2Jam,,,D2Jam,D2Jam,D2Jam,,D2Jam,,,Meow
Navbar.Brand.Alt,Down2Jam logo,,Logo Down2Jam,,,Down2Jam logosu,D2jam logo,Лого Down2Jam,,Logo do Down2Jam,,,Meow meow
Navbar.Language.Title,Select Language,,Seleziona lingua,,,Dil Seç,Pumili ng lengguahe,Выбрать Язык,,Selecionar Idioma,,,Meow meow
Navbar.Language.Select,Select,,Seleziona,,,Seç,Pumili,Выбрать,,Selecionar,,,Meow
Navbar.JoinJam.Title,Join Jam,,Unisciti alla jam,,,Jam'e Katıl,Sumalin sa Jam,Участвовать в Джеме,,Juntar-se ao Jam,,,Meow meow
Navbar.JoinJam.Description,Mark that you are participating in the jam!,,Conferma la tua partecipazione alla jam!,,,Jam'e katıldığının izini düş,Ipakita mo na sasalin ka sa jam,Отметьтесь что вы участвуете в джеме!,,Marque que você está participando no jam!,,,Meow meow meow meow meow meow meow meow!
Navbar.NoJamToast.Title,Error joining jam,,Errore nell'unirsi alla jam,,,Jam'e katılırken bir hata oluştu,May pagkakamali sa pagsasalin sa jam,Ошибка присоединения к джему,,Erro em juntar-se ao jam,,,Meow meow meow
Navbar.NoJamToast.Description,There is no jam to join,,Non c'è una jam a cui unirsi,,,Katılacak bir jam yok,Walang jam na sasalihan,Нет джема для участия,,Não há jam para entrar,,,Meow meow meow meow meow meow
Navbar.MyGame.Title,My Game,,Il mio gioco,,,Oyunum,Aking Game,Моя Игра,,Meu Jogo,,,Meow meow
Navbar.MyGame.Description,View the page for your game,,Visualizza la pagina del tuo gioco,,,Oyununun sayfasını görüntüle,Tignan ang page para sa iyong game,Посмотреть страницу вашей игры,,Ver a página do seu jogo,,,Meow meow meow meow meow meow
Navbar.CreateGame.Title,Create Game,,Crea un gioco,,,Oyun Yarat,Gumawa ng Game,Создать Игру,,Criar Jogo,,,Meow meow
Navbar.CreateGame.Description,Create a site page for your game,,Crea una pagina del sito per il tuo gioco,,,Oyunun için bir sayfa oluştur,Gumawa ng site page para sa iyong game,Создайте страницу для вашей игры,,Criar uma página para seu jogo,,,Meow meow meow meow meow meow meow
Navbar.CreatePost.Title,Create Post,,Crea un post,,,Gönderi Yarat,Gumawa ng post,Создать Пост,,Criar Post,,,Meow meow
Navbar.CreatePost.Description,Create a post in the forum,,Crea un post nel forum,,,Forum'da gönderi yarat,Gumawa ng post sa forum,Создайте пост на форуме,,Criar um post no fórum,,,Meow meow meow meow meow meow
Navbar.MyTeam.Title,My Team,,Il mio team,,,Takımım,Aking Team,Моя Команда,,Minha Equipe,,,Meow meow
Navbar.MyTeam.Description,View your team for the jam!,,Visualizza il tuo team per la jam!,,,Jam Takımı'nı görüntüle!,Tignan ang Team nyo para sa jam!,Посмотрите вашу команду на джеме,,Ver sua equipe para o jam!,,,Meow meow meow meow meow meow!
Navbar.TeamFinder.Title,Team Finder,,Trova team,,,Takım Bulucu,Hanapan ng Team,Поиск Команды,チームを探す,Descobridor de Equipe,,,Meow meow
Navbar.TeamFinder.Description,Find a team to participate in the jam with!,,Trova un team con cui partecipare alla jam!,,,Jam'e katılmak için bir takım bul!,Maghanap ng team para makisalin para sa jam,Найдите команду для участия в джеме,,Descubra uma equipe para participar no jam!,,,Meow meow meow meow meow meow meow meow meow!
Navbar.Profile.Title,Profile,,Profilo,,,Profil,Profile,Профиль,プロフィール,Perfil,,,Meow
Navbar.Profile.Description,View your profile page,,Visualizza la tua pagina profilo,,,Profilini görüntüle,Tignan ang iyong profile page,Посмотрите свою профильную страницу,,Ver sua página de perfil,,,Meow meow meow meow
Navbar.Settings.Title,Settings,,Impostazioni,,,Ayarlar,Settings,Настройки,設定,Configurações,,eiba,Meow
Navbar.Settings.Description,Manage your preferences,,Gestisci le tue preferenze,,,Tercihlerini görüntüle,Ayusin ang sariling kagustuhan,Настройте по своим предпочтениям,,Gerenciar suas preferências,,,Meow meow meow
Navbar.ReportBug.Title,Report Bug,,Segnala un bug,,,Bug Raporu,Report Bug,Доложите о Баге,,Reportar Erro,,,Meow meow
Navbar.ReportBug.Description,Go to the Github Repository,,Vai alla repository GitHub,,,Github Depo'suna git,Puntahan ang Github Repository,Перейдите на GitHub Репозиторий,,Ir para o Repositório do Github,,,Meow meow meow meow meow
Navbar.Logout.Title,Logout,,Esci,,,Çıkış Yap,Logout,Выйти,ログアウト,Sair,,,Meow
Navbar.Logout.Description,Log out of your account,,Esci dal tuo account,,,Hesaptan çıkış yap,Mag log-out sa sariling account,Выйдите из своего аккаунта,アカウントからログアウトする,Sair da sua conta,,,Meow meow meow meow meow
Navbar.Inbox.Title,Inbox,,Notifiche,,,Gelen Kutusu,Inbox,Входящие,受信トレイ,Caixa de Entrada,,rolan,Meow
Navbar.Inbox.Description,View your notifications,,Visualizza le tue notifiche,,,Bildirimleri görüntüle,Tignan ang mga pagpapaunawa,Посмотрите свои оповещения,通知を見る,Ver suas notificações,,,Meow meow meow
Navbar.Search,Search,,Cerca,,,Ara,Search,Поиск,探す,Pesquisar,,,Meow
Navbar.Music.Title,Music,,Musica,,,Müzik,Musika,Музыка,,Música,,,Meow
Navbar.Music.Description,All submitted music to the website,,Tutta la musica caricata sul sito,,,Web sitesine gönderilen tüm müzikler,Lahat nang musika na sinalin sa website,Вся музыка добавленная на сайт,,Todas músicas enviadas para o site,,,Meow meow meow meow meow meow
Navbar.Login.Title,Login,,Accedi,,,Giriş Yap,,Войти,,Entrar,,,Meow
Navbar.Login.Description,Log into the website,,Accedi al sito,,,Web sayfasına giriş yap,,Войдите на сайт,,Entrar no site,,,Meow meow meow meow
Navbar.ThemeSuggestions.Title,Theme Suggestions,,Suggerimenti Tema,,,Tema Önerileri,,Предложение Темы,,Sugestões de Temas,,,Meow meow
Navbar.ThemeSuggestions.Description,Submit possible jam themes to the jam. These will be voted on by participants in the future,,Proponi possibili temi per la jam. Verranno poi votati dai partecipanti,,,Jam'e tema önerilerinde bulunun. Bu temalar sonraki aşamada katılımcılar tarafından oylanacak.,,Подайте возможные темы для джема. В будущем за них будут голосовать участники,,Enviar possíveis temas para o jam. Esses serão votados por participantes no futuro,,,Meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow
Navbar.ThemeElimination.Title,Theme Elimination,,Eliminazione Tema,,,Tema Eleme,,Устранение Темы,,Eliminação de Temas,,,Meow meow
Navbar.ThemeElimination.Description,Vote on themes you would or would not want to do for the jam. You can vote on as many as you want,,Vota i temi che vorresti o non vorresti per la jam. Puoi votare tutti quelli che vuoi,,,Bu temalarda oyun yapmayı isteyip istemediğinize göre eleme yapın. İstediğiniz kadar temayı oylayabilirsiniz.,,"Проголосуйте за тему, которую вы хотите или нет на джеме. Можете голосовать ровно столько сколько желаете. ",,Vote nos temas que você quer ou não para o jam. Você pode votar em quantos quiser,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow
Navbar.ThemeVoting.Title,Theme Voting,,Votazione Tema,,,Tema Oylama,,Избирание Темы,,Votação de Temas,,,Meow meow
Navbar.ThemeVoting.Description,Vote on the top themes to determine the theme for the jam,,Vota i migliori temi per determinare il tema finale della jam,,,En beğenilen temalar arasından oy vererek jam temasını seçmeye yardımcı olun,,"Голосуйте за топовые темы, чтобы определить тему на джем",,Vote nos melhores temas para determinar o tema para o jam,,,Meow meow meow meow meow meow meow meow meow meow meow meow
PostStyle.Cozy.Title,Cozy,,Esteso,,,Rahat,Maaliwalas,Удобный,,Confortável,,,Meow
PostStyle.Cozy.Description,"Large cards, displays all post content",,"Schede grandi, mostra tutto il contenuto del post",,,"Geniş kartlar, bütün gönderi içeriğini gösterir","Malalaking cards, nakikita ang laman ng buong post","Большие карточки, показывают весь пост-контент",,"Grandes cards, mostra todo conteúdo do post",,,"Meow meow, meow meow meow meow"
PostStyle.Compact.Title,Compact,,Compatto,,,Kompakt,Compact,Компактный,,Compacto,,,Meow
PostStyle.Compact.Description,Small cards to show more on screen at once,,Schede piccole per mostrare più contenuti sullo schermo contemporaneamente,,,Ekranda daha çok kart göstermek için kartlar küçülür,Malilit na cards para mas mariming makikita sa screen,"Маленькие карточки, чтобы видеть больше на экране",,Cards pequenos para aperecer mais na tela de vez,,,Meow meow meow meow meow meow meow meow meow
PostStyle.Ultra.Title,Ultra Compact,,Ultra compatto,,,Ekstra Kompakt,Ultra Compact,Ультра компактный,,Ultra Compacto,,,Meow meow
PostStyle.Ultra.Description,Very small cards for maximum compactness,,Schede molto piccole per la massima compattezza,,,Maksimum kompaktlık için küçücük kartlar,Pinakamaliit na card para talagang napaka-compact,Очень маленькие карточки для максимальной компактности,,Cards muito pequenos para o máximo de compacidade,,,Meow meow meow meow meow meow
PostSort.Top.Title,Top,,Top,,,Beğeni,Pinakamataas,Топ,,Top,,,Meow
PostSort.Top.Description,Shows the most liked posts first,,Mostra prima i post più apprezzati,,,En çok beğeni almış postlar önce gösterilir,Pinakikita ang post na may pinakamataas na like sa unahan,Показывать посты с самым большим количеством лайков сначала,,Mostra os post mais curtidos primeiro,,,Meow meow meow meow meow meow
PostSort.Newest.Title,Newest,,Più recenti,,,En Yeni,Pinakabago,Новейшее,,Novo,,,Meow
PostSort.Newest.Description,Shows the newest posts first,,Mostra prima i post più recenti,,,En yeni gönderiler önce gösterilir.,Pinakikita ang masbagong post sa unahan,Показывать самые свежие посты сначала,,Mostra os post mais novos primeiro,,,Meow meow meow meow meow
PostSort.Oldest.Title,Oldest,,Meno recenti,,,En Eski,Pinakaluma,Старейшее,,Velho,,,Meow
PostSort.Oldest.Description,Shows the oldest posts first,,Mostra prima i post più vecchi,,,En eski gönderiler önce gösterilir,Pinakikita ang masmalumahing post sa unahan,Показывать самые старые посты сначала,,Mostra os post mais velhos primeiro,,,Meow meow meow meow meow
PostTime.Hour.Title,Hour,,Ora,,,Saat,Oras,Час,,Hora,,,Meow
PostTime.Hour.Description,Shows posts from the last hour,,Mostra i post dell'ultima ora,,,Son 1 saatten gönderileri gösterir,Pinakikita ang post galing sa huling nakaraang oras,Показывать посты за последний час,,Mostra posts da última hora,,,Meow meow meow meow meow meow
PostTime.ThreeHours.Title,Three Hours,,Tre ore,,,Üç Saat,Tatlong Oras,Три Часа,,Três Horas,,,Meow meow
PostTime.ThreeHours.Description,Shows posts from the last three hours,,Mostra i post delle ultime tre ore,,,Son 3 saatten gönderileri gösterir,Pinakikita ang post galing sa nakaraang tatlong oras,Показывать посты за последние три часа,,Mostra posts das últimas três horas,,,Meow meow meow meow meow meow meow
PostTime.SixHours.Title,Six Hours,,Sei ore,,,Altı Saat,Anim na Oras,Шесть Часов,,Seis Horas,,,Meow meow
PostTime.SixHours.Description,Shows posts from the last six hours,,Mostra i post delle ultime sei ore,,,Son 6 saatten gönderileri gösterir,Pinakikita ang post galing sa nakaraang anim na oras,Показывать посты за последние шесть часов,,Mostra posts das últimas seis horas,,,Meow meow meow meow meow meow meow
PostTime.TwelveHours.Title,Twelve Hours,,Dodici ore,,,On İki Saat,Labing-dalawang Oras,Двенадцать Часов,,Doze Horas,,,Meow meow
PostTime.TwelveHours.Description,Shows posts from the last twelve hours,,Mostra i post delle ultime dodici ore,,,Son 12 saatten gönderileri gösterir,Pinakikita ang post galing sa nakaraang labing-dalawang oras,Показывать посты за последние двенадцать часов,,Mostra posts das últimas doze horas,,,Meow meow meow meow meow meow meow
PostTime.Day.Title,Day,,Giorno,,,Gün,Araw,День,,Dia,,,Meow
PostTime.Day.Description,Shows posts from the last day,,Mostra i post dell'ultimo giorno,,,Son günün gönderilerini gösterir,Pinakikita ang post galing sa nakaraang araw,Показывать посты за последний день,,Mostra posts do dia,,,Meow meow meow meow meow meow
PostTime.Week.Title,Week,,Settimana,,,Hafta,Linggo,Неделя,,Semana,,,Meow
PostTime.Week.Description,Shows posts from the last week,,Mostra i post dell'ultima settimana,,,Son haftanın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang linggo,Показывать посты за последнюю неделю,,Mostra posts da semana,,,Meow meow meow meow meow meow
PostTime.Month.Title,Month,,Mese,,,Ay,Buwan,Месяц,,Mês,,,Meow
PostTime.Month.Description,Shows posts from the last month,,Mostra i post dell'ultimo mese,,,Son ayın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang buwan,Показывать посты за последний месяц,,Mostra posts do mês,,,Meow meow meow meow meow meow
PostTime.ThreeMonths.Title,Three Months,,Tre mesi,,,Üç Ay,Tatlong Buwan,Три Месяца,,Três Meses,,,Meow meow
PostTime.ThreeMonths.Description,Shows posts from the last three months,,Mostra i post degli ultimi tre mesi,,,Son 3 ayın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang tatlong buwan,Показывать посты за последние три месяца,,Mostra posts dos últimos três meses,,,Meow meow meow meow meow meow meow
PostTime.SixMonths.Title,Six Months,,Sei mesi,,,Altı Ay,Anim na Buwan,Шесть Месяцев,,Seis Meses,,,Meow meow
PostTime.SixMonths.Description,Shows posts from the last six months,,Mostra i post degli ultimi sei mesi,,,Son 6 ayın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang anim na buwan,Показывать посты за последние шесть месяцев,,Mostra posts dos últimos seis meses,,,Meow meow meow meow meow meow meow
PostTime.NineMonths.Title,Nine Months,,Nove mesi,,,Dokuz Ay,Siyam na Buwan,Девять Месяцев,,Nove Meses,,,Meow meow
PostTime.NineMonths.Description,Shows posts from the last nine month,,Mostra i post degli ultimi nove mesi,,,Son 9 ayın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang siyam na buwan,Показывать посты за последние девять месяцев,,Mostra posts dos últimos nove meses,,,Meow meow meow meow meow meow meow
PostTime.Year.Title,Year,,Anno,,,Yıl,Taon,Год,,Ano,,,Meow
PostTime.Year.Description,Shows posts from the last year,,Mostra i post dell'ultimo anno,,,Son 1 yılın gönderilerini gösterir,Pinakikita ang post galing sa nakaraang taon,Показывать посты за последний год,,Mostra posts do ano,,,Meow meow meow meow meow meow
PostTime.All.Title,All Time,,Sempre,,,Tüm Zamanlar,Lahat,Все Время,,Desde o Início,,,Meow meow
PostTime.All.Description,Shows all posts,,Mostra tutti i post,,,Bütün gönderileri gösterir,Pinakikita ang lahat ng post,Показывать посты за все время,,Mostra todos os posts,,,Meow meow meow
Settings.Title,Settings,,Impostazioni,,,Ayarlar,Settings,Настройки,,Configurações,,,Meow
Settings.Description,Manage your preferences,,Gestisci le tue preferenze,,,Ayarlarınızı yönetin,Ayusin ang sariling kagustuhan,Настройте по своим предпочтениям,,Genenciar suas preferências,,,Meow meow meow
Settings.Name.Title,Name,,Nome,,,İsim,Pangalan,Имя,,Nome,,,Meow
Settings.Name.Description,The name that displays for you on the site,,Il nome che verrà mostrato sul sito,,,Sitede gösterilen isminiz,Ang pangalan na ipakikita sayo sa loob ng site,"Имя, которое отображается на сайте",,O nome que aparece para você no site,,,Meow meow meow meow meow meow meow meow meow
Settings.Email.Title,Email,,Email,,,Eposta,Email,Электронная почта,,Email,,,Meow
Settings.Email.Description,"The email associated with your account (for password reset, notifications, etc.)",,"L'email associata al tuo account (per reimpostare la password, notifiche, ecc.)",,,"Hesabınıza bağlı eposta (şifre yenileme, bildirim vb. için)","Ang email na konektado sa iyong account (para ayusin ang password, at notipikasyon, atbp.)","Адрес электронной почты связанный с этим аккаунтом (для сброса пароля, оповещений и т.д.)",,"O email associado com sua conta (para redefinição de senha, notificações, etc.)",,,"Meow meow meow meow meow meow (meow meow meow, meow, meow.)"
Settings.Email.Show,Show Email,,Mostra email,,,Eposta Göster,Ipakita ang email,Показывать Электронную Почту,,Mostar Email,,,Meow meow
Settings.Email.Hide,Hide Email,,Nascondi Email,,,Eposta Gizle,Itago and email,Скрыть Электронную Почту,,Esconder Email,,,Meow meow
Settings.Short.Title,Short,,Descrizione breve,,,Kısa,Maikling bio,Кратко о себе,,Breve,,,Meow
Settings.Short.Description,A short description that appears in spots such as search instead of the bio (max 155 characters),,Una breve descrizione che appare in punti come la ricerca al posto della bio (max 155 caratteri),,,Arama kısmı gibi yerlerde çıkan kısa açıklama,"Maikling bio na pinapakita sa ibang lugar, tulad ng search, kaysasa buong bio","Короткое описание, которое видно в местах вроде поиска вместо Био (максимальная длина в 155 символа)",,Uma breve descrição que aparece em lugares como a pesquisa em vez da bio (máx. 155 caracteres),,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow (meow meow meow)
Settings.Bio.Title,Bio,,Bio,,,Bio,Bio,Био,,Bio,,,Meow
Settings.Bio.Description,A large description that shows on your profile page,,Una descrizione estesa che viene mostrata sulla tua pagina del profilo,,,Profil sayfanızda gözüken daha uzun açıklama,Ang buong bio na makikita sa iyong profile page,"Длинное описание, которое видно на странице профиля",,Uma descrição larga que mostra na sua página de perfil,,,Meow meow meow meow meow meow meow meow meow
Settings.ProfilePicture.Title,Profile Picture,,Immagine del profilo,,,Profil Resmi,Profile Picture,Картинка Профиля,,Foto de Perfil,,,Meow meow
Settings.ProfilePicture.Description,The image that represents you on the website (usually displays next to your name),,L'immagine che ti rappresenta sul sito (di solito appare accanto al tuo nome),,,Sizi web sitesinde temsil eden resim ( genelde isminizin yanında çıkar),Ang litrato na representasyon nyo sa website (makikitang katabi ng iyong pangalan),"Изображение, которое отображает вас на сайте (обычно показывается рядом с вашим именем)",,A imagem que representa você no site (normalmente aparace ao lado do seu nome),,,Meow meow meow meow meow meow meow meow (meow meow meow meow meow meow)
Settings.BannerPicture.Title,Banner Picture,,Immagine di copertina,,,Afiş Resmi,Banner Picture,Баннер Картинка,,Foto de Faixa,,,Meow meow
Settings.BannerPicture.Description,A picture that shows at the top of your profile and as the background of your search result,,Un'immagine che viene mostrata in cima al tuo profilo e come sfondo dei tuoi risultati di ricerca,,,Profil sayfanızın üstünde ve arama sonucunuzun arkaplanında gösterilen resim,"Litrato na pinapakita sa taas ng iyong profile page, at sa likod ng resulta ng search","Изображение, которое видно в шапке вашего профиля и как бэкграунд при вашем отображении в поиске",,Uma foto que aparece no topo do seu perfil e no fundo dos resultados da pesquisa,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow
Settings.PrimaryRoles.Title,Primary Roles,,Ruoli principali,,,Öncelikli Roller,Pangunahing Tungkulin,Основные Роли,,Cargos Primários,,,Meow meow
Settings.PrimaryRoles.Description,Roles you usually do on a jam team,,I ruoli che di solito ricopri in un team durante una jam,,,Bir jam takımında öncelikli olarak aldığınız roller,Mga papel na karaniwang ginagawa nyo sa isang jam team,"Роли, которые вы обычно занимаете в джеме",,Cargos você normalmente faz na equipe do jam,,,Meow meow meow meow meow meow meow meow
Settings.SecondaryRoles.Title,Secondary Roles,,Ruoli secondari,,,İkincil Roller,Pangalawang Tungkulin,Второстепенные Роли,,Cargos Secundários,,,Meow meow
Settings.SecondaryRoles.Description,Things you are capable of doing (or are willing to do if you can't do your primary role),,Le cose che sei in grado di fare (o che sei disposto a fare se non puoi ricoprire il tuo ruolo primario),,,Yeteneğinizin olduğu işler (ya da öncelikli rolünüzü gerçekleştiremeyecekseniz tercih ettiğiniz şeyler),Mga papel na kaya nyong gawin (o handang gawin kung hindi magawa ang panunahing tungkulin),"То что вы можете делать (или могли бы, если не получается участвовать по основной роли)",,Coisas que você é capaz de fazer (ou que você deseja fazer se não conseguir fazer seus cargos principais),,,Meow meow meow meow meow meow (meow meow meow meow meow meow meow meow'meow meow meow meow meow)
Settings.Save.Title,Save,,Salva,,,Kaydet,Save,Сохранить,,Salvar,,,Meow
Settings.Save.Description,Save your settings changes,,Salva le modifiche alle impostazioni,,,Ayarlardaki değişiklikleri kaydedin,I-save ang mga pagbabago sa setting,Сохраните изменения настроек,,Salvar suas configurações,,,Meow meow meow meow
Settings.Reset.Title,Reset,,Reset,,,Sıfırla,Reset,Сбросить,,Redefinir,,,Meow
Settings.Reset.Description,Reset your settings to the last save (discards changes),,Ripristina le impostazioni all'ultimo salvataggio (annulla le modifiche),,,Ayarlarınızı son kayda sıfırlayın (yapılan değişiklikleri sıfırla),Ibalik ang settings sa huling save (itatapon ang mga pagbabago),Сбросьте настройки до последнего сохранения (убрать изменения),,Redefinir suas configurações para as últimas salvas (descartar mudanças),,,Meow meow meow meow meow meow meow (meow meow)
Markdown.Characters,characters,,caratteri,,,karakter,mga texto,символы,,caracteres,,,Meow
Markdown.Words,words,,parole,,,kelime,mga salita,слова,,palavras,,,Meow
Markdown.Bold.Title,Bold,,Grassetto,,,Kalın,Bold,Жирным,,Negrito,,,Meow
Markdown.Bold.Description,Make text darker and thicker (used to emphasize key words),,Rende il testo più scuro e spesso (usato per enfatizzare le parole chiave),,,Yazıyı daha koyu ve kalın yapar (kelimelere dikkat çekmek için kullanılır),Gawing mas madidilim at mas makapal ang teksto (ginagamit upang bigyang-diin ang mga mahahalagang salita),Сделайте текст темнее и толще (чтобы акцентировать на ключевых словах),,Deixar textos mais escuro e grosso (usado para enfatizar palavras-chaves),,,Meow meow meow meow meow (meow meow meow meow meow)
Markdown.Italic.Title,Italic,,Corsivo,,,İtalik,Italic,Итальянским,,Itálico,,,Meow
Markdown.Italic.Description,Slant text to the right (used to indicate the text is vocally stressed),,Inclina il testo a destra (usato per indicare enfasi su una parola),,,Yazıyı sağa doğru yatırır,I-slant ang teksto sa kanan (ginagamit upang ipahiwatig na ang teksto ay may importansya kung wikain),Косой текст вправо (чтобы отразить смысловое ударение в тексте) ,,Inclina texto para a direita (usado para indicar texto é vocalmente tônico),,,Meow meow meow meow meow (meow meow meow meow meow meow meow meow)
Markdown.Highlight.Title,Highlight,,Evidenzia,,,Vurgula,Highlight,Подсветка,,Destaque,,,Meow
Markdown.Highlight.Description,Emphasize text by giving it a colored background (used to draw attention),,Enfatizza il testo dandogli uno sfondo colorato (usato per attirare l'attenzione),,,Yazının arkaplanına renk vererek vurgular,Lagyan ng kulay ang background para mag-bigyang diin ang texto (ginagamit para mag-bigay atensyon),Выделите текст придавая ему цветной задний фон (чтобы привлечь внимание),,Enfatiza texto dando uma cor de fundo (usado para chamar atenção),,,Meow meow meow meow meow meow meow meow (meow meow meow meow)
Markdown.Strikethrough.Title,Strikethrough,,Barrato,,,Üstü Çizili,Strikethrough,Вычеркнуть,,Tachado,,,Meow
